year,product_sector,value,global_demand_index,demand_growth_rate_pct,demand_3yr_ma
2015,Machinery And Transport Equipment,19525.694939999998,0.1130351681126197,,19525.694939999998
2016,Machinery And Transport Equipment,17238.621193,0.11177216620055613,-11.713149027616632,18382.1580665
2017,Machinery And Transport Equipment,16527.61723,0.10170841372307692,-4.124482782235006,17763.977787666667
2018,Machinery And Transport Equipment,15187.010014,0.08616527184963645,-8.111315728964275,16317.749479
2019,Machinery And Transport Equipment,13618.94,0.08517140373642618,-10.325073945131324,15111.189081333332
2020,Machinery And Transport Equipment,9114.599,0.07928633438737714,-33.07409387221032,12640.183004666667
2021,Machinery And Transport Equipment,9426.901339,0.061937701061167715,3.426396915541763,10720.146779666667
2022,Machinery And Transport Equipment,8514.834709,0.04070850285897326,-9.67514772035103,9018.778349333334
2023,Machinery And Transport Equipment,12687.755158,0.06447226621746598,49.007650666304905,10209.830402
2024,Machinery And Transport Equipment,14292.938283,0.07570251839473739,12.651435222470253,11831.842716666666
2015,Manufactures,38897.867270999996,0.2251815866073268,,38897.867270999996
2016,Manufactures,36125.707801000004,0.234232690146108,-7.1267646904300985,37511.787536
2017,Manufactures,34542.812626000006,0.2125711546215385,-4.381630897640654,36522.129232666666
2018,Manufactures,32534.780899999998,0.184589872412845,-5.813167988783241,34401.100442333336
2019,Manufactures,31736.504999999997,0.19847673024024687,-2.4536077327633077,32938.03284200001
2020,Manufactures,24265.78,0.2110838608753417,-23.53984788180047,29512.355299999996
2021,Manufactures,27062.634154,0.17781000181083995,11.525919026711694,27688.306384666666
2022,Manufactures,30196.610725000002,0.14436672654733562,11.580456481679136,27175.008293000003
2023,Manufactures,33646.355778,0.1709724675447422,11.424278984210389,30301.866885666666
2024,Manufactures,35164.376785,0.1862480497500053,4.511695165491214,33002.44776266667
2015,Office And Telecom Equipment,2725.227882,0.01577647262920254,,2725.227882
2016,Office And Telecom Equipment,2421.4496409999997,0.015700250541501006,-11.14689318300467,2573.3387615
2017,Office And Telecom Equipment,2400.968295,0.014775189507692308,-0.8458299381167933,2515.8819393333333
2018,Office And Telecom Equipment,1641.163095,0.009311330149904894,-31.645782311340355,2154.5270103333332
2019,Office And Telecom Equipment,1781.071,0.01113862879374168,8.524923904653114,1941.0674633333335
2020,Office And Telecom Equipment,1225.862,0.010663563415656458,-31.17276065917641,1549.3653649999999
2021,Office And Telecom Equipment,1517.641743,0.009971382664948406,23.802005690689466,1508.191581
2022,Office And Telecom Equipment,996.7633109999999,0.004765417472246923,-34.32156728704319,1246.7556846666666
2023,Office And Telecom Equipment,1185.4932,0.006024031220464038,18.934273253964108,1233.2994179999998
2024,Office And Telecom Equipment,1456.45704,0.007714121734709011,22.856633846571217,1212.904517
2015,Pharmaceuticals,2078.566461,0.012032919190551892,,2078.566461
2016,Pharmaceuticals,2125.323139,0.01378021875778889,2.2494675478168524,2101.9448
2017,Pharmaceuticals,2027.4423960000001,0.01247656859076923,-4.605452281767109,2077.110665333333
2018,Pharmaceuticals,1764.796288,0.010012777483821398,-12.954553407691494,1972.520607666667
2019,Pharmaceuticals,1895.963,0.011857151154372204,7.432399585826865,1896.067228
2020,Pharmaceuticals,1786.2920000000001,0.015538647923567094,-5.78444832520465,1815.6837626666666
2021,Pharmaceuticals,1907.2327129999999,0.012531117637050075,6.770489539224256,1863.162571
2022,Pharmaceuticals,1585.5338160000001,0.007580265511603225,-16.86731224811997,1759.6861763333334
2023,Pharmaceuticals,1851.94883,0.00941059600394321,16.802859157688243,1781.5717863333332
2024,Pharmaceuticals,1917.25809,0.010154753553950128,3.5265153627381807,1784.9135786666668
2015,Telecommunications Equipment,1798.2683339999999,0.010410260124922886,,1798.2683339999999
2016,Telecommunications Equipment,1836.470824,0.011907351514049844,2.124404310396999,1817.369579
2017,Telecommunications Equipment,1363.621569,0.008391517347692307,-25.747713975117314,1666.1202423333332
2018,Telecommunications Equipment,1256.460067,0.007128672671017271,-7.858595407711677,1485.5174866666666
2019,Telecommunications Equipment,1420.43,0.008883218298144485,13.050150761377122,1346.8372120000001
2020,Telecommunications Equipment,950.616,0.008269245640975639,-33.075477144245056,1209.168689
2021,Telecommunications Equipment,1216.7447789999999,0.007994395154816902,27.995402875609066,1195.9302596666666
2022,Telecommunications Equipment,728.797599,0.003484302415306503,-40.10267300271686,965.3861259999999
2023,Telecommunications Equipment,863.261681,0.004386626020102239,18.450126919257315,936.2680196666666
2024,Telecommunications Equipment,1012.174153,0.005360978332026864,17.249980542110976,868.077811
2015,Textiles,634.4969400000001,0.003673132684917528,,634.4969400000001
2016,Textiles,628.402997,0.0040744537184988295,-0.9604369407991253,631.4499685000001
2017,Textiles,638.300957,0.00392800588923077,1.5750975166020753,633.7336313333334
2018,Textiles,971.526946,0.005512071390890509,52.20515265497243,746.0769666666666
2019,Textiles,1058.9499999999998,0.0066225607856917265,8.99852076773997,889.5926343333332
2020,Textiles,905.435,0.007876223866352741,-14.496907313848617,978.6373153333333
2021,Textiles,922.250587,0.006059475866663937,1.8571832323689863,962.2118623333332
2022,Textiles,1054.3387619999999,0.005040679469894724,14.322373643552888,960.6747829999999
2023,Textiles,1368.132254,0.006952103488927508,29.762112834091205,1114.907201
2024,Textiles,1415.220139,0.007495710572869219,3.4417641176377023,1279.230385
2015,Total Merchandise,172740.00000200002,1.0,,172740.00000200002
2016,Total Merchandise,154229.999999,1.0,-10.71552622599613,163485.0000005
2017,Total Merchandise,162500.0,1.0,5.362121507523598,163156.666667
2018,Total Merchandise,176254.42,1.0,8.464258461538465,164328.1399996667
2019,Total Merchandise,159900.382083,1.0,-9.278654071200032,166218.267361
2020,Total Merchandise,114958.007208,1.0,-28.10648373039636,150370.93643033333
2021,Total Merchandise,152199.729365,1.0,32.3959357521016,142352.70621866666
2022,Total Merchandise,209166.0,1.0,37.428628074880145,158774.57885766667
2023,Total Merchandise,196794.0,1.0,-5.914919250738649,186053.2431216667
2024,Total Merchandise,188804.0,1.0,-4.060083132615833,198254.66666666666
2025,Total Merchandise,191000.0,1.0,1.1631109510391813,192199.33333333334
2015,Transport Equipment,5468.835717,0.0316593476724365,,5468.835717
2016,Transport Equipment,4535.695374,0.029408645361015423,-17.062870257728026,5002.2655455
2017,Transport Equipment,4644.030193,0.02857864734153846,2.388494157279797,4882.853761333333
2018,Transport Equipment,6015.065672,0.03412717633974796,29.522535858327913,5064.930412999999
2019,Transport Equipment,4525.304,0.028300770398728855,-24.767172184583252,5061.4666216666665
2020,Transport Equipment,2399.877,0.0208761186652946,-46.9676070381128,4313.415557333333
2021,Transport Equipment,2467.911516,0.016214953379329225,2.8349167894854643,3131.030838666667
2022,Transport Equipment,2320.964876,0.01109628178575868,-5.954291272086277,2396.251130666667
2023,Transport Equipment,4108.265058,0.0208759670416781,77.00677422918486,2965.7138166666664
2024,Transport Equipment,4279.701973,0.02266743275036546,4.172976002757234,3569.6439689999993
